mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_eta,param_max_depth,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.04895591735839844,0.005711822074398367,0.0037482738494873046,0.0013542982332601474,0.7,0.01,3,0.7,"{'colsample_bytree': 0.7, 'eta': 0.01, 'max_depth': 3, 'subsample': 0.7}",0.807351940095303,0.8196051735874744,0.8038147138964578,0.803133514986376,0.8010899182561307,0.8069990521643484,0.00661874729311065,208
0.047193717956542966,0.00766784229002928,0.004120683670043946,0.003142006709135576,0.7,0.01,3,0.8,"{'colsample_bytree': 0.7, 'eta': 0.01, 'max_depth': 3, 'subsample': 0.8}",0.8080326752893124,0.8182437031994554,0.8017711171662125,0.803133514986376,0.7935967302452316,0.8049555481773176,0.00810588583417505,212
0.04722375869750976,0.010494125094009547,0.002956533432006836,0.00139684607130158,0.7,0.01,3,1.0,"{'colsample_bytree': 0.7, 'eta': 0.01, 'max_depth': 3, 'subsample': 1.0}",0.810074880871341,0.8121170864533697,0.8004087193460491,0.803133514986376,0.7956403269754768,0.8042749057265226,0.00609828878278663,214
0.05119819641113281,0.013745566251172403,0.003421974182128906,0.0017195192385243414,0.7,0.01,4,0.7,"{'colsample_bytree': 0.7, 'eta': 0.01, 'max_depth': 4, 'subsample': 0.7}",0.8230088495575221,0.8366235534377128,0.8160762942779292,0.8222070844686649,0.8065395095367848,0.8208910582557227,0.009827281134030674,199
0.06086497306823731,0.008632751040361188,0.002608585357666016,0.0011417427928812024,0.7,0.01,4,0.8,"{'colsample_bytree': 0.7, 'eta': 0.01, 'max_depth': 4, 'subsample': 0.8}",0.820285908781484,0.8386657590197413,0.8153950953678474,0.8188010899182562,0.8072207084468664,0.8200737123068389,0.010338452115755077,202
0.05547595024108887,0.0066510171435301335,0.0026552677154541016,0.0012921796944254382,0.7,0.01,4,1.0,"{'colsample_bytree': 0.7, 'eta': 0.01, 'max_depth': 4, 'subsample': 1.0}",0.8236895847515316,0.8359428182437032,0.8167574931880109,0.8160762942779292,0.8092643051771117,0.8203460991276573,0.009037167991235558,201
0.09532842636108399,0.05897625980622082,0.003964996337890625,0.0019106378660971083,0.7,0.01,5,0.7,"{'colsample_bytree': 0.7, 'eta': 0.01, 'max_depth': 5, 'subsample': 0.7}",0.8270932607215793,0.8413886997957795,0.8208446866485014,0.8167574931880109,0.8188010899182562,0.8249770460544255,0.00890618460198277,183
0.08120098114013671,0.004873848190486008,0.0028759002685546874,0.0009356585375760029,0.7,0.01,5,0.8,"{'colsample_bytree': 0.7, 'eta': 0.01, 'max_depth': 5, 'subsample': 0.8}",0.8236895847515316,0.8400272294077604,0.8235694822888283,0.8167574931880109,0.8201634877384196,0.8248414554749102,0.008009822473548056,184
0.08097562789916993,0.011855704570781918,0.003031635284423828,0.001177909894937146,0.7,0.01,5,1.0,"{'colsample_bytree': 0.7, 'eta': 0.01, 'max_depth': 5, 'subsample': 1.0}",0.8250510551395507,0.8373042886317222,0.8242506811989101,0.8194822888283378,0.8160762942779292,0.82443292161529,0.007217054453745643,185
0.10855002403259277,0.011789779162029066,0.005488920211791992,0.002278864018240393,0.7,0.01,6,0.7,"{'colsample_bytree': 0.7, 'eta': 0.01, 'max_depth': 6, 'subsample': 0.7}",0.8284547311095983,0.8420694349897889,0.8235694822888283,0.8201634877384196,0.8222070844686649,0.8272928441190599,0.007877229412455661,172
0.11326637268066406,0.01148981633105783,0.004758119583129883,0.0011630302178741367,0.7,0.01,6,0.8,"{'colsample_bytree': 0.7, 'eta': 0.01, 'max_depth': 6, 'subsample': 0.8}",0.8311776718856365,0.8400272294077604,0.8249318801089919,0.8208446866485014,0.8235694822888283,0.8281101900679436,0.006854669832997565,166
0.10922913551330567,0.010715926822159444,0.004256677627563476,0.0025006624720950873,0.7,0.01,6,1.0,"{'colsample_bytree': 0.7, 'eta': 0.01, 'max_depth': 6, 'subsample': 1.0}",0.8270932607215793,0.8359428182437032,0.8317438692098093,0.8228882833787466,0.8222070844686649,0.8279750632045006,0.005246170076961399,167
0.14348783493041992,0.005857102018737152,0.005598211288452148,0.0017625751375039663,0.7,0.01,7,0.7,"{'colsample_bytree': 0.7, 'eta': 0.01, 'max_depth': 7, 'subsample': 0.7}",0.8291354663036079,0.8359428182437032,0.8269754768392371,0.8262942779291553,0.8242506811989101,0.8285197441029227,0.004026003047158088,158
0.16515564918518066,0.005127288605242016,0.007265949249267578,0.002751028628846507,0.7,0.01,7,0.8,"{'colsample_bytree': 0.7, 'eta': 0.01, 'max_depth': 7, 'subsample': 0.8}",0.8291354663036079,0.8379850238257318,0.8242506811989101,0.8235694822888283,0.8235694822888283,0.8277020271811812,0.005547295041252184,169
0.17167015075683595,0.02190167307540224,0.003980207443237305,0.00039790703457216097,0.7,0.01,7,1.0,"{'colsample_bytree': 0.7, 'eta': 0.01, 'max_depth': 7, 'subsample': 1.0}",0.8209666439754936,0.8373042886317222,0.8337874659400545,0.8215258855585831,0.8147138964577657,0.8256596361127239,0.008492123826562453,181
0.1935424327850342,0.020154346097234543,0.0047721385955810545,0.0001451474921514599,0.7,0.01,8,0.7,"{'colsample_bytree': 0.7, 'eta': 0.01, 'max_depth': 8, 'subsample': 0.7}",0.831858407079646,0.8379850238257318,0.8317438692098093,0.829700272479564,0.8242506811989101,0.8311076507587323,0.004410564917073001,133
