mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0002475261688232422,8.034953727642201e-06,0.0,0.0,True,gini,,auto,4,5,500,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 500}",,,,,,,,865
0.00024657249450683595,2.9930563623590646e-05,0.0,0.0,True,gini,,auto,4,10,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",,,,,,,,865
0.00025577545166015624,1.9382360060486077e-05,0.0,0.0,True,gini,,auto,4,10,200,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",,,,,,,,865
0.0002745151519775391,4.3014993475616984e-05,0.0,0.0,True,gini,,auto,4,10,500,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 500}",,,,,,,,865
1.2632733821868896,0.04602534687979751,0.020473241806030273,0.0018520739059811875,True,gini,,sqrt,1,2,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8413886997957795,0.8529611980939414,0.8317438692098093,0.8249318801089919,0.8242506811989101,0.8350552656814865,0.010871266081948818,281
2.516139793395996,0.02418574428070842,0.03227291107177734,0.0019213543852775834,True,gini,,sqrt,1,2,200,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8359428182437032,0.8515997277059224,0.8344686648501363,0.8228882833787466,0.8222070844686649,0.8334213157294347,0.010720198975463814,517
6.715191888809204,0.4548683222323658,0.09301748275756835,0.02040524657531343,True,gini,,sqrt,1,2,500,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.8393464942137508,0.8488767869298843,0.8365122615803815,0.8242506811989101,0.829700272479564,0.8357372992804981,0.00842212654699859,155
1.256978702545166,0.007625158475648146,0.015291261672973632,0.0019448826703195548,True,gini,,sqrt,1,5,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.8359428182437032,0.8495575221238938,0.8358310626702997,0.8256130790190735,0.8256130790190735,0.8345115122152087,0.008815174317223066,385
2.6143279552459715,0.27570902064640407,0.037800168991088866,0.008443050029181874,True,gini,,sqrt,1,5,200,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.8359428182437032,0.8515997277059224,0.8344686648501363,0.8228882833787466,0.8290190735694822,0.8347837135495981,0.009580745738517247,333
6.627440929412842,0.5239379387608512,0.0834733486175537,0.005322916135424873,True,gini,,sqrt,1,5,500,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",0.8393464942137508,0.8488767869298843,0.8365122615803815,0.8249318801089919,0.8317438692098093,0.8362822584085634,0.00796859655480133,87
