mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_l1_ratio,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.009906005859375,0.0008719408914927632,0.002674579620361328,0.0007620389064033178,0.0001,0.0,l1,liblinear,"{'C': 0.0001, 'l1_ratio': 0.0, 'penalty': 'l1', 'solver': 'liblinear'}",0.49693669162695714,0.49693669162695714,0.49727520435967304,0.49727520435967304,0.49659400544959126,0.49700355948457037,0.00025466016754503577,291
0.01051626205444336,0.0013373973224790404,0.002762508392333984,0.0008126164276751023,0.0001,0.0,l1,saga,"{'C': 0.0001, 'l1_ratio': 0.0, 'penalty': 'l1', 'solver': 'saga'}",0.5030633083730429,0.5030633083730429,0.502724795640327,0.502724795640327,0.49659400544959126,0.5016340426952663,0.0025245617507777232,284
0.0009798526763916016,0.0001856264281858897,0.0,0.0,0.0001,0.0,l1,lbfgs,"{'C': 0.0001, 'l1_ratio': 0.0, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,,,301
0.007689523696899414,0.0010688905839451473,0.0031367778778076173,0.0004103024178726536,0.0001,0.0,l2,liblinear,"{'C': 0.0001, 'l1_ratio': 0.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.7345132743362832,0.7440435670524166,0.747275204359673,0.7173024523160763,0.7275204359673024,0.7341309868063502,0.010936862451958528,258
0.012221479415893554,0.0017419740872406297,0.0017442703247070312,0.0005399300017113951,0.0001,0.0,l2,saga,"{'C': 0.0001, 'l1_ratio': 0.0, 'penalty': 'l2', 'solver': 'saga'}",0.730428863172226,0.7406398910823689,0.7363760217983651,0.7104904632152589,0.7227520435967303,0.72813745657299,0.010675714658323955,266
0.005763053894042969,0.002138348975418783,0.0014497756958007813,0.0006379153522056862,0.0001,0.0,l2,lbfgs,"{'C': 0.0001, 'l1_ratio': 0.0, 'penalty': 'l2', 'solver': 'lbfgs'}",0.730428863172226,0.7413206262763785,0.7384196185286104,0.7104904632152589,0.7186648501362398,0.7278648842657427,0.011709351229448597,268
0.000678110122680664,0.0002968742883093948,0.0,0.0,0.0001,0.0,elasticnet,liblinear,"{'C': 0.0001, 'l1_ratio': 0.0, 'penalty': 'elasticnet', 'solver': 'liblinear'}",,,,,,,,301
0.00863022804260254,0.001507821505531856,0.0013199329376220703,0.00022023318705886134,0.0001,0.0,elasticnet,saga,"{'C': 0.0001, 'l1_ratio': 0.0, 'penalty': 'elasticnet', 'solver': 'saga'}",0.730428863172226,0.7406398910823689,0.7384196185286104,0.7104904632152589,0.7186648501362398,0.727728737226941,0.011555047876146005,273
0.0006207942962646485,0.00027277750438594873,0.0,0.0,0.0001,0.0,elasticnet,lbfgs,"{'C': 0.0001, 'l1_ratio': 0.0, 'penalty': 'elasticnet', 'solver': 'lbfgs'}",,,,,,,,301
0.0005364894866943359,0.00015962934188559145,0.0,0.0,0.0001,0.0,none,liblinear,"{'C': 0.0001, 'l1_ratio': 0.0, 'penalty': 'none', 'solver': 'liblinear'}",,,,,,,,301
0.00046672821044921873,8.714368338447684e-05,0.0,0.0,0.0001,0.0,none,saga,"{'C': 0.0001, 'l1_ratio': 0.0, 'penalty': 'none', 'solver': 'saga'}",,,,,,,,301
0.00036563873291015623,9.179141304672846e-05,0.0,0.0,0.0001,0.0,none,lbfgs,"{'C': 0.0001, 'l1_ratio': 0.0, 'penalty': 'none', 'solver': 'lbfgs'}",,,,,,,,301
0.0024112701416015626,0.0002687039201121886,0.0009263992309570312,0.00010974949749354386,0.0001,0.25,l1,liblinear,"{'C': 0.0001, 'l1_ratio': 0.25, 'penalty': 'l1', 'solver': 'liblinear'}",0.49693669162695714,0.49693669162695714,0.49727520435967304,0.49727520435967304,0.49659400544959126,0.49700355948457037,0.00025466016754503577,291
0.0017473697662353516,0.0002376988993073276,0.0007504463195800781,5.056061585294215e-05,0.0001,0.25,l1,saga,"{'C': 0.0001, 'l1_ratio': 0.25, 'penalty': 'l1', 'solver': 'saga'}",0.49693669162695714,0.5030633083730429,0.49727520435967304,0.502724795640327,0.5034059945504087,0.5006811989100817,0.0029290741896281854,288
0.00031580924987792967,6.984331374855883e-05,0.0,0.0,0.0001,0.25,l1,lbfgs,"{'C': 0.0001, 'l1_ratio': 0.25, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,,,301
0.002770805358886719,0.00025946867768404896,0.0008465766906738282,0.00012602936891590742,0.0001,0.25,l2,liblinear,"{'C': 0.0001, 'l1_ratio': 0.25, 'penalty': 'l2', 'solver': 'liblinear'}",0.7345132743362832,0.7440435670524166,0.747275204359673,0.7173024523160763,0.7275204359673024,0.7341309868063502,0.010936862451958528,258
0.007887792587280274,0.0011433488920999718,0.001121187210083008,0.00029521887671113184,0.0001,0.25,l2,saga,"{'C': 0.0001, 'l1_ratio': 0.25, 'penalty': 'l2', 'solver': 'saga'}",0.7297481279782164,0.7413206262763785,0.739100817438692,0.7104904632152589,0.7186648501362398,0.7278649770089572,0.011809834283213727,267
0.004435253143310547,0.0016762824258223642,0.0010672569274902343,0.00028673644516501943,0.0001,0.25,l2,lbfgs,"{'C': 0.0001, 'l1_ratio': 0.25, 'penalty': 'l2', 'solver': 'lbfgs'}",0.730428863172226,0.7413206262763785,0.7384196185286104,0.7104904632152589,0.7186648501362398,0.7278648842657427,0.011709351229448597,268
