mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.05371050834655762,0.005679541847187727,0.001798534393310547,0.0005742316422233646,gini,,,1,2,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7896528250510552,0.7903335602450646,0.7758855585831063,0.7697547683923706,0.7547683923705722,0.7760790209284337,0.013278678675521694,527
0.06319904327392578,0.004553695460428002,0.0012047290802001953,0.0002519022439048595,gini,,,1,5,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.7746766507828454,0.786929884275017,0.7901907356948229,0.7704359673024523,0.7561307901907357,0.7756728056491746,0.012229466714162248,530
0.05482382774353027,0.005471078002184529,0.0014205455780029296,0.0005033322243215714,gini,,,1,10,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.776718856364874,0.7944179714091218,0.7908719346049047,0.7731607629427792,0.7636239782016349,0.7797587007046629,0.01141491035337245,471
0.06243729591369629,0.008331971877656467,0.0015381813049316407,0.0004523815866521197,gini,,,1,15,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 15}",0.7842069434989789,0.7950987066031314,0.7901907356948229,0.7799727520435967,0.7663487738419619,0.7831635823364984,0.009857341028520756,431
0.06059818267822266,0.007250755190957052,0.0017930984497070313,0.0006251384318818122,gini,,,2,2,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.7882913546630361,0.7801225323349217,0.7799727520435967,0.7717983651226158,0.7629427792915532,0.7766255566911446,0.00860283178386839,517
0.06360626220703125,0.005730163167168463,0.0014301300048828124,0.0005108142755909413,gini,,,2,5,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.7862491490810075,0.7889720898570456,0.7908719346049047,0.7724795640326976,0.7581743869209809,0.7793494248993273,0.012397962141401694,476
0.06477150917053223,0.004555769980335581,0.00211029052734375,0.0012631262450326847,gini,,,2,10,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.7882913546630361,0.7957794417971409,0.7861035422343324,0.7752043596730245,0.771117166212534,0.7832991729160135,0.00897185338686005,426
0.06360893249511719,0.005655867881852283,0.0015156269073486328,0.0006101572390501784,gini,,,2,15,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 15}",0.7971409121851599,0.7985023825731791,0.7867847411444142,0.7799727520435967,0.7704359673024523,0.7865673510497604,0.01056411575719702,382
0.05611295700073242,0.005937710084856857,0.0016889095306396485,0.0005532892675192437,gini,,,4,2,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.7910142954390742,0.7985023825731791,0.7888283378746594,0.7683923705722071,0.7697547683923706,0.783298430970298,0.012057329819080701,427
0.05467777252197266,0.006006363808853219,0.002017641067504883,0.0005396435999150295,gini,,,4,5,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.7910142954390742,0.7985023825731791,0.7888283378746594,0.7683923705722071,0.7697547683923706,0.783298430970298,0.012057329819080701,427
0.05512313842773438,0.0029584523109259424,0.0018201828002929687,0.00042398993173651086,gini,,,4,10,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.7930565010211028,0.7991831177671885,0.7970027247956403,0.7677111716621253,0.7717983651226158,0.7857503760737345,0.013270304203694403,387
0.05016436576843262,0.0051903167370286815,0.001178741455078125,0.000372513843226826,gini,,,4,15,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 15}",0.8005445881552076,0.7937372362151123,0.7942779291553134,0.7806539509536785,0.771117166212534,0.7880661741383692,0.01066459173202728,345
0.050286865234375,0.003657303184502737,0.0012047767639160156,0.0003899238123670323,gini,,,8,2,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 2}",0.7882913546630361,0.7998638529611981,0.8044959128065395,0.7881471389645777,0.7752043596730245,0.7912005238136752,0.010251676270622932,307
0.04581003189086914,0.005153808874284999,0.0015467166900634765,0.00042623223982990775,gini,,,8,5,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 5}",0.7882913546630361,0.7998638529611981,0.8044959128065395,0.7881471389645777,0.7752043596730245,0.7912005238136752,0.010251676270622932,307
0.047952890396118164,0.002518560373686269,0.0016405105590820313,0.0007238286662239647,gini,,,8,10,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 10}",0.7882913546630361,0.7998638529611981,0.8044959128065395,0.7881471389645777,0.7752043596730245,0.7912005238136752,0.010251676270622932,307
