toi,tid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_eqt,pl_insol,st_teff,st_logg,st_rad,ra,dec,tfopwg_disp,fe_h,gaia_source_id,Prediction,source_id,teff_gspspec,flags_gspspec,lum_flame,mass_flame,r_med_geo,r_lo_geo,r_hi_geo,flags_flame,teff_gspphot,ruwe,teff,hz_inner,hz_outer,a_orbit,isInHabitableZone
2728.01,TIC 42763678,1.7246234,1.979,11820.0,15.5191,1557.0,976.638,5776.0,4.18,1.37,96.814362,-3.235402,PC,0.126720367756579,Gaia DR3 3117079180863496320,1,Gaia DR3 3117079180863496320,,,1.5740777,0.93186533,629.41547,621.40533,637.0909,00,5343.1313,1.1568435,5343.13134765625,1.268047749272269,2.222757226990872,0.02749048039400526,out
2729.01,TIC 39724477,4.0350169,2.108,25420.0,12.5268,934.0,126.805,5240.2,4.64,0.75,90.095814,-3.757326,PC,0.3769728844488376,Gaia DR3 3024301741171727744,1,Gaia DR3 3024301741171727744,,,0.42007062,0.87978476,255.57394,254.4,256.72968,00,5200.5205,1.0029488,5200.5205078125,0.6587702810266295,1.1627139876067987,0.04752886881390066,out
2734.01,TIC 21505121,4.5879078,3.464,2040.0,5.59491,1299.0,474.054,5785.0,4.26,1.25,85.826619,-40.383532,PC,0.3229508234069494,Gaia DR3 4804772874585499008,1,Gaia DR3 4804772874585499008,,,1.4039625,0.9241357,579.3163,575.9235,582.3403,00,5601.282,1.0015813,5601.2822265625,1.1852068883661915,2.0522816410723075,0.052632838887099215,out
2748.01,TIC 237552878,4.7838171,2.035,10210.0,11.571,964.0,143.512,5688.0,4.36,1.1,103.054435,3.357831,PC,0.5447879367016862,Gaia DR3 3128102540843952896,1,Gaia DR3 3128102540843952896,,,0.9720799,0.92099196,523.8114,520.34766,527.94116,00,5616.191,1.0243682,5616.19091796875,0.9856114832306788,1.7054792496718276,0.05405925852469008,out
2751.01,TIC 231157209,7.4710819,2.511,24880.0,12.8097,741.0,50.0778,5262.0,4.57,0.81,100.613362,6.816715,PC,-0.0051755617566742,Gaia DR3 3133527569876881920,1,Gaia DR3 3133527569876881920,,,0.41098753,0.86340374,437.53287,433.68958,441.05768,00,5147.9253,1.1519632,5147.92529296875,0.6529504790134592,1.1553767887288169,0.07121892277805059,out
2752.01,TIC 170367033,4.9197461,3.023,10380.0,12.6447,1134.0,275.438,5822.0,4.3,1.21,103.204081,-44.550824,PC,0.1764787750998633,Gaia DR3 5558970609233047552,1,Gaia DR3 5558970609233047552,,,1.3111595,0.9165413,694.90594,689.65216,698.78546,00,5622.163,0.9999442,5622.1630859375,1.144399662328355,1.9796916954964625,0.054989642631454394,out
2753.01,TIC 168191686,1.6281719,2.128,12020.0,15.3377,1694.0,1369.74,6020.0,4.22,1.35,101.578458,-3.72159,PC,0.1969561718927884,Gaia DR3 3105448241925315072,1,Gaia DR3 3105448241925315072,,,2.0566642,1.1105129,874.28125,860.6312,892.8295,00,5993.1035,1.0103825,5993.103515625,1.4120672355474062,2.402200937505712,0.02804850990451182,out
2762.01,TIC 79431527,3.9072351,3.366,14650.0,13.9055,1420.0,676.473,6294.0,4.42,1.13,104.244375,-19.683669,APC,-0.1438295683984814,Gaia DR3 2932388204097410176,1,Gaia DR3 2932388204097410176,,,1.7142648,1.069621,531.4468,527.4729,535.46967,00,6012.0317,1.0823679,6012.03173828125,1.2882100026375047,2.189701085580903,0.04965062950104288,out
2764.01,TIC 53122063,2.276734,1.832,3620.0,10.8605,1479.0,796.052,6494.0,4.06,1.78,102.751656,-34.738847,PC,-0.1674210464330367,Gaia DR3 5579365759654707456,1,Gaia DR3 5579365759654707456,,,6.314468,1.5118002,848.6849,841.93634,855.5287,00,7196.052,0.95873475,7196.0517578125,2.3762689043059795,3.8777807037375407,0.03887240578021771,out
2778.01,TIC 332860211,4.4445101,2.737,16730.0,14.6892,1202.0,347.285,6288.0,4.42,1.14,84.626068,-9.83753,PC,0.4600000083446502,Gaia DR3 3010634296242239616,1,Gaia DR3 3010634296242239616,5892.0,00000020000009999999999999999999999999999,1.1955662,0.9061161,391.438,389.344,393.73148,00,5513.8457,0.96238345,5892.0,1.0809661164722382,1.847113683275443,0.05119320415209236,out
2786.01,TIC 281987399,3.7576217,4.483,7680.0,16.0563,1539.0,933.592,5605.0,3.88,1.89,88.908628,1.167967,PC,0.3383455558949143,Gaia DR3 3315021514727074944,1,Gaia DR3 3315021514727074944,,,4.3870664,1.3653097,699.1655,690.14856,709.7123,00,6655.518,1.0658315,6655.51806640625,2.0121047402915058,3.3354020811962224,0.05247521071400443,out
2788.01,TIC 255756918,4.0646554,2.813,7700.0,8.30577,1173.0,314.34,5647.0,4.5,0.93,99.631107,-49.444946,PC,0.0518203363948255,Gaia DR3 5550942250204215552,1,Gaia DR3 5550942250204215552,,,0.800433,0.95162034,584.91876,581.16376,588.97266,00,5623.9136,0.9873675,5623.91357421875,0.8940909973662259,1.5465578187913318,0.04902739531421168,out
2792.01,TIC 237362186,7.1185659,1.734,3920.0,12.5411,749.0,52.4926,5945.0,3.92,1.9,95.110693,-38.17295,PC,-0.1068122317469187,Gaia DR3 5574593810469851008,1,Gaia DR3 5574593810469851008,3150.0,21222231000009999999999999999999999999999,3.4648442,1.1478604,763.3788,757.99994,769.38513,00,5638.1396,1.0507488,5638.1396484375,1.8591369381346632,3.213723005205963,0.07582745143033257,out
2797.01,TIC 206897186,4.2380604,3.385,13070.0,13.0206,1292.0,463.485,5798.0,4.35,1.13,97.187829,7.699212,PC,0.2772025606782613,Gaia DR3 3324695700927145600,1,Gaia DR3 3324695700927145600,,,1.1238843,0.93276936,641.3425,634.924,649.4044,00,5555.45,1.0816725,5555.4501953125,1.062382909656335,1.8435560734975267,0.050076958761135944,out
2802.01,TIC 139444326,3.5266608,2.105,1320.0,5.79479,1171.0,312.309,5668.0,4.35,1.58,80.731186,-21.955687,PC,0.5,Gaia DR3 2961906861478465408,1,Gaia DR3 2961906861478465408,6189.0,00000010000009999999999999999999999999999,2.8531082,1.0852449,479.15457,471.89777,486.5532,00,5744.8257,2.7722278,6189.0,1.6504387125836455,2.784559660137977,0.04659651875502358,out
2804.01,TIC 44764338,4.8033954,0.9062451,867.1363349,4.4901713,1339.2032846,760.1635216,5913.9,4.12,1.50621,146.418889,-38.887361,PC,0.1607457399368286,Gaia DR3 5431886478317255040,1,Gaia DR3 5431886478317255040,6018.0,00000000000001221000000019900021299999999,2.344643,1.0793504,129.57259,129.35944,129.7895,00,5944.5947,0.96552825,6018.0,1.5062028376617718,2.5595863829382637,0.05715068830338965,out
2807.01,TIC 11936042,3.9919157,2.938,535.0,2.45988,1264.0,424.412,5645.0,4.32,1.14,146.114558,-35.104589,PC,0.3700000047683716,Gaia DR3 5438128955582515456,1,Gaia DR3 5438128955582515456,5572.0,00000000000009910000000009900990099999995,1.1223586,0.91253865,130.06636,129.83748,130.28249,00,5607.6445,0.9151355,5572.0,1.0609524246723623,1.8396441946543773,0.04776829688164066,out
2808.01,TIC 192988021,9.4453763,2.659,863.0,1.77547,669.0,33.3967,4853.0,4.69,0.66,155.316019,-25.109334,PC,-0.2962117797923405,Gaia DR3 5472723302242240640,1,Gaia DR3 5472723302242240640,4693.0,01100000000009999009900109900999999999999,0.2274478,0.7635036,64.83669,64.779205,64.90244,00,4713.631,1.1425803,4693.0,0.4940720877320111,0.8936481305865417,0.07992542773081619,out
