toi,tid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_eqt,pl_insol,st_teff,st_logg,st_rad,ra,dec,tfopwg_disp,fe_h,gaia_source_id
1078.01,TIC 370133522,0.5182425,0.8565249,831.8920424,1.3485121,1019.3295979,255.1405815,3325.0,4.88693,0.390989,306.928646,-56.462287,CP,0.33000001311302185,Gaia DR3 6468968316900356736
1079.01,TIC 379240073,3.1644075,2.0576293,5603.4635466,14.8814743,1747.9490013,2206.1550476,6519.0,4.22068,1.7234,283.119492,-55.387928,PC,0.21072427046011907,Gaia DR3 6638157661492231424
108.01,TIC 289793076,3.0440541,2.5984575,22236.0165376,12.1086799,1075.3184542,315.9871326,5523.0,4.52192,0.809868,316.96148,-26.09672,KP,0.10000000149011612,Gaia DR3 6803000980210856704
1080.01,TIC 161032923,3.9652485,1.0112593,3680.7544436,1.2305102,386.6684768,5.2829448,3296.0,4.96636,0.199988,276.368325,-52.214573,PC,0.16749167442321777,Gaia DR3 6653968157663516672
1083.01,TIC 322270620,12.9802953,2.5034417,2407.2608671,2.4241912,376.2093904,4.7341229,3614.0,4.81257,0.491323,296.822194,-87.32281,PC,-0.8364320090432009,Gaia DR3 6342406969401289088
1084.01,TIC 380589029,1.3484961,2.4074261,18463.7636682,15.8824638,1839.6713042,2706.9606225,6346.0,4.38484,1.14759,268.890707,-61.7474,KP,-0.10999999940395355,Gaia DR3 5911182735242698496
1086.01,TIC 468148930,3.7178828,5.5277827,4864.8405125,14.6986197,1689.4116185,1925.1426172,5818.0,4.33787,2.0840001,305.56982,-88.568495,PC,0.1899999976158142,Gaia DR3 6341398511080515712
1087.01,TIC 426077080,9.30992,3.464,2220.0,14.2968,1067.0,215.208,6907.0,3.63,3.09,238.001011,-76.49349,FP,0.36000001430511475,Gaia DR3 5780064805397000832
1088.01,TIC 343648136,1.15395,2.236,1550.0,5.48364,2148.0,3534.3,6093.0,4.2,1.4,272.311383,-76.300955,FA,0.03999999910593033,Gaia DR3 6414269022170353664
109.01,TIC 29344935,2.76676,2.6872178,14947.4387827,12.2867389,1209.5741229,505.8840075,5346.0,4.48823,0.984866,313.215475,-25.687376,KP,0.3970612658715611,Gaia DR3 6805149288493408640
1097.01,TIC 360630575,9.188506,2.492,460.0,2.16591,786.0,63.4589,5876.0,4.48,0.98,189.775859,-74.57402,CP,-0.013990737497806549,Gaia DR3 5838450865699668736
1097.02,TIC 360630575,13.9028391,2.1264429,647.2701039,2.6136848,756.6987586,77.4841883,5876.0,4.48,0.983215,189.775859,-74.57402,CP,-0.013990737497806549,Gaia DR3 5838450865699668736
1098.01,TIC 383390264,10.1826983,2.8275109,667.4752458,3.0538057,957.1991659,198.394783,6153.0,4.34814,1.14582,192.589285,-88.121111,CP,-0.05754014782806488,Gaia DR3 5765748511163751936
1099.01,TIC 290348383,6.441006,1.812,914.0,2.56374,853.0,87.8902,4867.0,4.438,0.8,328.718171,-77.338802,CP,0.20000000298023224,Gaia DR3 6356417496318028800
110.01,TIC 281459670,3.1743504,2.751086,15457.3247576,14.9172256,1320.6518234,718.9096994,5943.0,4.42524,1.15706,5.618525,-59.942589,KP,0.5,Gaia DR3 4906145613282734208
1100.01,TIC 318608749,20.0731588,3.8449215,1152.9645461,4.0506906,736.1368293,69.3993155,6033.0,4.37,1.14849,9.126138,-83.567067,FP,0.23000000417232513,Gaia DR3 4617735638779366016
1101.01,TIC 271581073,2.66903,1.548,3110.0,9.36823,1268.0,429.86,5803.5,4.07,1.56,319.551469,-77.529113,FP,-0.09611724283907475,Gaia DR3 6356211544046121728
1102.01,TIC 311890977,6.63371,2.122,1555.34,2.75375,610.0,22.9987,4138.1,4.54,0.63,263.003209,-76.858265,FP,-0.019999999552965164,Gaia DR3 5800975180092164224
1104.01,TIC 451599528,341.2811281,6.303026,972.5797241,4.7531892,846.173434,121.1597998,6058.6,4.2,1.39203,279.721286,-85.709137,FP,-0.07000000029802322,Gaia DR3 6345896578791113472
1105.01,TIC 274151135,10.8680523,2.375,1553.0,2.90726,594.0,20.7383,4664.0,4.55,0.76,146.053969,-89.471513,PC,0.019999999552965164,Gaia DR3 5188175980806170624
1107.01,TIC 394561119,4.0782392,4.8475616,6046.6959687,13.898174,1617.8267296,1619.0081232,6501.0,4.08,1.74836,155.607863,-82.218869,CP,-0.10000000149011612,Gaia DR3 5192364501633274880
1109.01,TIC 50309953,7.04083,2.979,1580.0,8.46404,1505.0,852.336,5317.0,4.49,0.91,30.198486,-77.610376,FP,0.25999999046325684,Gaia DR3 4633543729768502912
111.01,TIC 355703913,2.1061569,1.4688934,12142.2238514,13.086872,1308.0417533,691.8428073,5380.0,4.4337,0.940697,0.774487,-62.469317,KP,0.2290000021457672,Gaia DR3 4904523077718046720
1116.01,TIC 304100538,5.0100708,2.0644756,409.4812214,2.3107394,971.6657708,210.6631712,5551.0,4.46214,0.906282,27.699972,-75.848774,PC,0.10999999940395355,Gaia DR3 4636943797678881408
1117.01,TIC 295541511,2.2281625,2.015,630.0,2.56778,1434.0,702.927,5731.0,4.43,1.02,273.602061,-66.419974,PC,0.18000000715255737,Gaia DR3 6436995652638923392
112.01,TIC 388104525,2.4997996,2.865171,14621.2059647,13.8516093,1399.9894384,907.8624196,5650.0,4.28867,1.13732,55.933639,-65.19378,KP,0.36916473507881165,Gaia DR3 4672607178880426624
1126.01,TIC 405862830,1.6268695,3.231,1502.0,2.36498,1850.0,1946.23,5034.0,4.64,0.73,279.062469,-43.620606,FP,-0.039258502423763275,Gaia DR3 6710155125991377024
1128.01,TIC 425721385,13.5499,1.795,1180.0,6.24633,660.0,31.6652,6209.0,4.09,1.63,289.761799,-43.074223,FP,-0.28999999165534973,Gaia DR3 6712869888915011712
1129.01,TIC 91576611,4.43651,3.365,1520.0,19.9664,2653.0,8233.41,7101.9,3.91,2.32,284.157959,-29.398357,FP,0.35911265636266293,Gaia DR3 6761646114530371200
113.01,TIC 97409519,3.372877,2.63426,17163.60419,14.201803,1270.187448,615.165921,6050.0,4.45061,1.02,332.714337,-30.749719,KP,-0.019999999552965164,Gaia DR3 6614751532833886464
1130.01,TIC 254113311,8.34998,1.836,16680.0,11.1424,588.0,19.9348,4236.0,4.52,0.74,286.376004,-41.43764,CP,-0.12999999523162842,Gaia DR3 6715688452614516736
1130.02,TIC 254113311,4.0686405,1.8373729,2650.0950013,3.7548333,772.378302,84.108766,4236.0,4.52,0.741921,286.376004,-41.43764,CP,-0.12999999523162842,Gaia DR3 6715688452614516736
1131.01,TIC 198213332,0.5860366,0.8098934,410.5241553,4.906408,3263.6721812,26813.1057089,5579.0,3.67,2.39803,248.433545,61.718334,PC,-0.2856999933719635,Gaia DR3 1625373404725030528
1134.01,TIC 122220263,18.6922101,7.765,11126.0,18.1458,1141.0,282.175,6277.0,4.09,1.65,290.02096,36.637774,FP,-0.14000000059604645,Gaia DR3 2050895124913289856
1135.01,TIC 154872375,8.0277326,4.284,5705.0,9.06883,1106.0,248.619,5962.7,4.38,1.15,193.39637,85.129495,CP,-0.11677940566870783,Gaia DR3 1726858366624544640
1136.01,TIC 142276270,12.5187279,5.38,2320.0,5.58857,1393.0,626.362,5729.0,4.47,0.98,192.184898,64.855276,CP,0.07500000298023224,Gaia DR3 1677343097418015488
1136.02,TIC 142276270,6.2586065,3.201,813.0,2.51593,1087.0,232.392,5729.0,4.47,0.98,192.184898,64.855276,CP,0.07500000298023224,Gaia DR3 1677343097418015488
1136.03,TIC 142276270,26.3208756,4.414,800.0,2.71349,631.0,26.4328,5729.0,4.47,0.98,192.184898,64.855276,CP,0.07500000298023224,Gaia DR3 1677343097418015488
1136.04,TIC 142276270,18.795547,4.3425576,470.6731965,2.1597669,672.9826313,48.477077,5729.0,4.47,0.977727,192.184898,64.855276,CP,0.07500000298023224,Gaia DR3 1677343097418015488
114.01,TIC 25155310,3.2887898,3.4367717,7005.7247902,10.5135877,1338.8392647,759.3373533,5800.0,4.28004,1.24175,63.374706,-69.226593,KP,0.11540000140666962,Gaia DR3 4666498154837086208
1141.01,TIC 159510109,16.9487087,4.2887767,156467.5479643,45.2204505,758.5937679,78.263287,5894.7,4.37,1.1179,247.534722,80.307766,FP,0.019999999552965164,Gaia DR3 1710280239538684928
1142.01,TIC 284450803,3.3686634,3.012,3288.0,42.2321,2775.0,9856.24,7518.0,3.82,2.68,290.708965,56.615386,FP,-0.8075813257761119,Gaia DR3 2141967986578047488
1143.01,TIC 160268701,11.2071839,4.366,3276.0,17.4989,1487.0,813.063,6152.0,3.84,2.24,182.538652,77.352264,FP,-0.4000000059604645,Gaia DR3 1693285981661342592
1144.01,TIC 28230919,4.8878037,2.184,4279.0,5.29152,810.0,71.6805,4757.3,4.56,0.76,297.710176,48.081864,KP,0.21320000290870667,Gaia DR3 2086512227851023872
1147.01,TIC 288391628,10.9278415,2.468,2743.0,49.1695,1129.0,270.142,6259.0,3.59,2.92,266.962207,83.428826,FP,0.17000000178813934,Gaia DR3 1711283750057562880
1148.01,TIC 349827430,5.5514888,4.335,9493.0,15.8043,1482.0,802.858,6403.9,4.16,1.55,161.909027,71.655727,KP,0.14250758077033088,Gaia DR3 1076970406751899008
115.01,TIC 281541555,4.7423709,2.4988145,12650.8110411,10.5505922,970.6340996,209.7699043,5377.0,4.42476,0.877585,6.70264,-56.316102,KP,-0.04584722917281901,Gaia DR3 4919771654727611008
1150.01,TIC 16740101,1.4810903,4.1588291,6788.5145388,20.3402421,3446.0210572,33326.7304874,9435.0,4.11,2.28773,307.8599,39.938916,KP,0.3112168725971245,Gaia DR3 2064327278651198336
1153.01,TIC 154840461,6.0360758,1.255,987.0,9.86763,1293.0,464.097,6528.3,4.21,1.69,182.691562,85.705076,APC,-0.31360444163968293,Gaia DR3 1726947014749701504
1154.01,TIC 459970307,21.745537,4.196,659.0,2.10208,642.0,28.2504,5704.0,4.51,0.93,254.924043,64.699214,PC,0.0640999972820282,Gaia DR3 1632298579931398272
1157.01,TIC 147576037,13.0727479,3.044,4080.0,35.7944,1074.0,221.343,5709.8,3.37,3.59,144.341393,68.458705,FP,-0.8772661838982538,Gaia DR3 1070759780962956544
116.01,TIC 238176110,2.7985802,2.3801043,16708.7151957,11.9514993,1089.1458169,332.556249,4920.0,4.49371,0.906655,357.846434,-70.152862,KP,0.3799999952316284,Gaia DR3 6386751579018596864
1165.01,TIC 458478250,2.2552845,2.05,20820.0,14.688,1348.0,549.715,5787.0,4.5,0.96,232.146641,66.35871,KP,-0.10499999672174454,Gaia DR3 1644692064543192704
1166.01,TIC 138361973,1.8824539,2.46,1391.0,8.29008,3091.0,15173.2,5900.4,4.39,1.13,293.764981,37.53859,FP,-0.20999999344348907,Gaia DR3 2051973780179978240
1168.01,TIC 41330864,2.1358631,1.559,10325.0,23.6019,1745.0,1540.95,5969.0,4.17,1.5,301.710466,38.431023,FP,0.1374296277414344,Gaia DR3 2061833070913337472
117.01,TIC 322307342,3.5862962,3.3710943,5729.3246858,16.4747611,1658.3915202,1787.5955937,5704.8,3.84,2.00441,15.006077,-58.904724,KP,0.022673428058624268,Gaia DR3 4904279261014267648
1173.01,TIC 232967440,7.0643978,2.424,8268.0,9.39131,890.0,104.311,5429.6,4.44,0.96,197.683097,70.768012,CP,0.19099999964237213,Gaia DR3 1686171213716517504
1174.01,TIC 154089169,8.9534775,2.696,1136.0,2.35888,723.0,45.5604,5029.5,4.61,0.76,209.217175,68.618211,CP,-0.0020000000949949026,Gaia DR3 1674293361400214272
1175.01,TIC 30329585,7.5022708,2.605,1760.0,5.55812,940.0,129.866,6229.0,4.31,1.27,289.238688,31.323574,FP,-0.05000000074505806,Gaia DR3 2039904204830244096
1176.01,TIC 230088370,14.0077666,5.8727493,5924.8349672,12.4023108,1028.5320293,264.4796635,6557.7,4.18,1.57435,247.35668,71.505873,PC,0.09319999814033508,Gaia DR3 1653285267606752128
1178.01,TIC 359496368,2.6652139,3.422,710.0,2.32848,2000.0,2660.44,4043.4,4.69,0.56,279.101036,55.391781,FP,-0.5199999809265137,Gaia DR3 2147954002755393024
1179.01,TIC 148914726,1.2615323,1.039,2841.0,8.67407,1715.0,1437.18,4927.9,4.57,0.78,187.055897,67.240043,APC,-0.0,Gaia DR3 1680911012650126848
118.01,TIC 266980320,6.0344667,1.89,1800.0,4.44029,788.0,64.2648,5586.0,4.36763,1.05,349.559266,-56.903986,CP,-0.019999999552965164,Gaia DR3 6492940453524576128
