,koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_smet,ExoplanetCandidate
2799,108.546946,7.567,711.3,29.67,985.0,222.7,4751.0,2.52,11.536,-0.2,0
2800,3.254277742,2.9903,159.9,1.38,1301.0,675.56,5945.0,4.402,1.089,0.16,1
2801,91.3514816,8.707,210.0,1.57,428.0,7.93,5945.0,4.402,1.089,0.16,1
2802,2.250826647,1.536,534.4,30.03,1489.0,1161.8,5779.0,4.308,1.119,-0.1,0
2803,31.1588249,5.1803,959.0,3.56,639.0,39.46,5951.0,4.319,1.155,-0.02,1
2804,0.436282594,1.3988,536.4,83.25,5187.0,170399.16,8491.0,3.853,2.622,-0.38,0
2805,76.7324556,6.243,685.7,3.08,473.0,11.86,5951.0,4.319,1.155,-0.02,1
2806,13.89963233,3.5791,1121.7,2.46,521.0,17.37,4538.0,4.607,0.663,-0.2,1
2807,6.14955931,5.5694,333.7,3.26,1287.0,649.26,5687.0,3.973,1.775,0.04,1
2808,4.8099878,1.97,288.2,1.59,1077.0,317.8,5988.0,4.507,0.934,-0.12,1
2809,5.08288076,2.515,108.0,1.15,1183.0,462.96,6217.0,4.375,1.083,-0.22,1
2810,31.0259489,5.692,385.4,1.91,595.0,29.67,6075.0,4.486,0.969,-0.12,1
2811,3.08942807,3.214,85.3,1.07,1361.0,808.76,6137.0,4.418,1.103,0.14,1
2812,44.8702042,4.199,636.1,2.56,536.0,19.5,6122.0,4.471,0.996,-0.1,1
2813,4.8807805,9.4,79.0,0.48,706.0,58.98,4763.0,4.738,0.516,-1.6,0
2814,4.45342418,3.654,46.6,0.9,1331.0,740.51,6256.0,4.269,1.269,-0.08,1
2815,2.21396685,4.374,81.6,0.84,1418.0,952.61,5986.0,4.461,0.93,-0.38,0
2816,9.705693,7.702,140.8,2.07,1001.0,237.46,5808.0,4.178,1.385,0.14,1
2817,21.2360024,4.019,104.4,2.62,1048.0,285.21,6035.0,3.745,2.559,-0.16,1
2818,8.31377304,2.964,837.4,2.74,886.0,145.51,5900.0,4.509,0.951,0.07,1
2819,8.58969597,8.471,245.1,20.8,882.0,143.02,6024.0,4.523,0.9,-0.26,0
2820,7.97420583,5.3503,293.1,1.85,974.0,212.75,5973.0,4.386,1.081,0.0,1
2821,1.88899036,3.486,59.0,0.83,1574.0,1449.92,5973.0,4.386,1.081,0.0,1
2822,18.68405716,6.9329,381.5,3.64,832.0,113.34,5548.0,4.038,1.614,0.18,1
2823,21.41624083,7.081,314.5,2.09,748.0,74.2,6156.0,4.331,1.18,0.0,1
2824,12.28351275,3.634,597.8,74.76,1342.0,765.56,6171.0,3.668,2.759,-0.52,0
2825,4.72674037,2.9267,273.1,1.56,1028.0,264.08,5648.0,4.472,0.894,-0.2,1
2826,6.77449545,2.5416,481.9,29.41,1219.0,521.03,6517.0,4.265,1.342,-0.1,0
2827,14.591504451,1.1295,1490.5,36.85,879.0,140.82,5940.0,4.199,1.312,-0.12,1
2828,27.677680103,2.1704,11545.0,14.41,618.0,34.55,6075.0,4.486,0.969,-0.12,0
2829,0.605223042,0.8986,232.3,1.14,1728.0,2099.47,5089.0,4.559,0.757,-0.16,0
2830,25.5172744,4.735,66.8,0.83,615.0,33.91,5680.0,4.414,1.016,0.12,1
2831,4.73292061,1.746,151.6,0.97,957.0,198.57,5595.0,4.581,0.796,-0.24,1
2832,22.4765952,3.437,481.4,1.21,419.0,7.27,4563.0,4.704,0.567,-0.7,1
2833,1.242639742,1.763,159.3,1.02,1487.0,1159.26,5520.0,4.572,0.818,-0.08,1
2834,25.503628,3.913,204.4,1.61,586.0,27.85,5815.0,4.54,0.877,-0.12,0
2835,14.8638496,2.705,220.6,2.9,620.0,35.04,5159.0,4.508,0.8,-0.16,1
2836,5.65245733,2.062,121.0,1.05,856.0,127.1,5159.0,4.508,0.8,-0.16,1
2837,10.9294815,5.893,196.9,1.21,770.0,83.14,5792.0,4.547,0.864,-0.14,1
2838,0.536650319,2.383,41.9,1.35,3195.0,24688.55,6020.0,3.922,2.0,0.0,1
2839,5.45849914,4.0448,255.9,1.91,1099.0,344.32,5914.0,4.396,1.135,0.46,1
2840,13.28536452,6.283,377.6,4.03,1157.0,423.65,6534.0,3.973,1.9,-0.26,1
2841,8.4879444,3.224,119.3,1.23,969.0,208.99,6134.0,4.396,1.039,-0.28,0
2842,46.56675437,7.831,801.1,5.25,708.0,59.34,6629.0,4.132,1.619,-0.18,0
2843,19.5148412,3.096,102.7,2.8,1200.0,489.75,7004.0,3.854,2.556,-0.06,0
2844,15.4130812,6.6358,264.3,2.59,944.0,187.39,6206.0,4.159,1.573,0.22,1
2845,4.82051088,3.588,40.9,1.08,1328.0,735.25,6046.0,4.158,1.396,-0.16,1
2846,6.09595681,5.502,65.7,1.26,1259.0,593.42,6313.0,4.228,1.467,0.32,1
2847,13.2511214,4.996,266.5,1.98,850.0,123.32,5850.0,4.297,1.217,0.16,1
2848,5.76556718,3.138,213.3,1.66,1120.0,371.86,6218.0,4.404,1.072,-0.12,0
2849,11.682369,2.71,234.5,1.45,802.0,97.62,6089.0,4.527,0.889,-0.36,1
2850,10.12956201,3.044,81.3,0.78,736.0,69.43,5383.0,4.528,0.842,0.0,1
