toi,tid,tfopwg_disp,ra,dec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_teff,st_logg,st_rad,gaia_id,SOURCE_ID,phot_g_mean_mag,mh_gspphot,teff_gspphot,logg_gspphot,azero_gspphot,ebpminrp_gspphot,ag_gspphot,mg_gspphot,libname_gspphot,alphafe_gspspec,mh_gspspec,fem_gspspec,flags_gspspec,radius_flame,lum_flame,mass_flame,age_flame,r_med_geo,r_lo_geo,r_hi_geo,calibrated_gspphot,calibrated gspspec,metallicity,source_of_met,Prediction,multi_pl,spectral_type
1054.01,TIC 366989877,CP,302.114174,-54.317501,5289.7001390000805,15.5077855,4.565,513.0,2.43432,88.0718,853.0,6122.0,4.30881,1.17,6473033932942902528,6.473033932942902e+18,8.82615,-0.434,5987.7104,4.1987,0.0003,0.0002,0.0003,4.0742,MARCS,0.23,-0.32,-0.15,00000000000009922000000119900019999999999,1.2219012,1.7291836,1.072345,5.6243258,88.862114,88.73785,88.97005,-0.3752772333601298,-0.32,-0.47,f_spec,1,0,F
1055.01,TIC 320004517,CP,293.286615,-54.532728,3828.062710999977,17.4713078,4.4284819,1199.7541483,3.5766828,53.3700317,689.3568807,5783.54,4.49925,0.974669,6641996571978861440,6.641996571978862e+18,8.526487,-0.2131,5695.868,4.3684,0.0016,0.0007,0.0014,4.7481,MARCS,0.11,-0.13,-0.07,00000000000009922000000009900020299999999,0.9882326,0.9262165,0.9717369,5.825027,56.708553,56.666176,56.76225,-0.0056662697589816,-0.13,-0.2,f_spec,1,0,G
1056.01,TIC 421894914,PC,339.258703,-76.917605,3493.062423999887,5.3079507,3.2158594,391.3830934,3.0486928,603.2401116,1263.9861129,6124.3,4.38,1.36963,6357011163877476096,6.357011163877476e+18,10.044317,0.0362,6070.805,4.2985,0.001,0.0004,0.0008,3.922,MARCS,0.15,0.1,-0.15,00000000000000299000000029900999999999999,1.2562089,1.9318995,1.1063583,4.7814136,167.26251,166.9836,167.56337,0.1811527008262962,0.1,-0.0499999999999999,f_spec,1,0,F
1057.01,TIC 323132914,PC,127.996917,-78.407564,3774.3509010002017,51.1701501,6.6641048,851.4547808,2.9366826,11.2148229,466.7322968,5599.0,4.46138,0.943356,5209299420242893184,5.209299420242893e+18,9.860921,-0.2963,5557.8633,4.4232,0.0016,0.0007,0.0013,4.8949,MARCS,0.03,-0.11,-0.06,00000000000009999019900999900999999999999,0.97714484,0.8212418,0.91018057,9.761941,98.10141,97.980896,98.2148,-0.0305310839955889,-0.11,-0.1699999999999999,f_spec,1,0,G
1058.01,TIC 31553893,PC,288.911772,-31.790813,3830.023128999863,11.1296441,7.0473822,951.6169809,12.8402271,1255.6817164,1518.2372485,5785.0,4.344,3.4475601,6757952644494426624,6.757952644494426e+18,9.872817,,,,,,,,,0.09,0.07,-0.17,00000000000009901000000999900999999999999,,,,,324.0874,322.20093,325.9861,,0.07,-0.1,f_spec,1,0,G
106.01,TIC 38846515,KP,68.959816,-64.027039,5368.638582999818,2.8493825,3.567,8049.0,16.3869,2005.83,1864.0,6900.0,4.438,1.77,4675352109659600000,4.6753521096596e+18,10.616221,-0.1766,6744.162,4.1087,0.1101,0.0522,0.097,2.8209,MARCS,,,,,1.7492232,5.6916633,1.4428642,1.8294212,354.871,353.41513,356.39563,-0.0735510735519243,,-0.0735510735519243,cal_phot,0,0,F
1060.01,TIC 101230735,APC,299.290995,-48.934476,5316.536226000171,2.0685633,0.373,502.0,3.89739,24.409,619.0,5687.9,4.6,1.14,6670300646977106560,6.670300646977107e+18,10.075539,-0.3899,6168.5327,4.3086,0.1495,0.0687,0.1275,4.1282,PHOENIX,0.11,-0.04,-0.06,00000100000009999000000999900999999999999,1.1657078,1.4002101,0.9998085,8.133809,142.00894,138.96535,145.0133,-0.2175469877959507,-0.04,-0.1,f_spec,1,0,G
1062.01,TIC 299799658,CP,38.120968,-78.023683,5344.20042899996,4.1150576,1.08,487.0,2.30057,77.3573,826.0,5394.0,4.50942,0.89,4632865331094140928,4.632865331094141e+18,10.005381,0.1949,5208.5034,4.4693,0.0151,0.0064,0.0122,5.4173,MARCS,-0.06,0.22,-0.12,00000000000000022009900009900999999999999,0.8867028,0.5213966,,,82.27693,82.20854,82.3402,0.3517396638961549,0.22,0.1,f_spec,1,0,G
1063.01,TIC 406976746,PC,230.555493,-83.056214,4541.315336999949,10.0665634,1.981,640.0,2.09966,23.8187,615.0,5552.0,4.61783,0.79,5771517717394679424,5.77151771739468e+18,9.59403,-0.1886,5135.517,4.5142,0.0003,0.0001,0.0003,5.6543,MARCS,0.14,0.09,,00000002000009999999999999999999999999999,0.825932,0.42751423,0.82069397,10.8705635,61.24192,61.202774,61.28233,0.083922668199614,0.09,-0.0043611123588857,a_spec,1,0,G
1064.01,TIC 79748331,CP,296.003935,-47.56203,3823.6684779999778,6.4438657,1.9309449,1121.9512275,2.460344,60.831305,712.2812841,4803.0,4.52079,0.737189,6683371847364921088,6.683371847364921e+18,10.644562,0.1953,4608.6196,4.5747,0.0008,0.0003,0.0006,6.4735,MARCS,0.03,-0.08,-0.01,00000000000001199999900019900999999999999,0.75387657,0.23099457,0.7308605,,68.525894,68.444855,68.60884,0.1388349176912352,-0.08,-0.09,f_spec,1,1,K
