mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_leaf_size,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.013669300079345702,0.002362894906894427,0.17445592880249022,0.02416866450244444,10,manhattan,10,uniform,"{'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}",0.7808032675289313,0.7760381211708646,0.7786103542234333,0.7956403269754768,0.776566757493188,0.7815317654783789,0.007251872759098299,77
0.01600785255432129,0.0039970813575399685,0.10585036277770996,0.01166719515637004,10,manhattan,10,distance,"{'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'}",0.7821647379169503,0.776718856364874,0.773841961852861,0.8017711171662125,0.782016348773842,0.783302604414948,0.00976611133522025,17
0.012445068359375,0.003192317067694705,0.13644804954528808,0.020137699869024514,10,manhattan,12,uniform,"{'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 12, 'weights': 'uniform'}",0.7842069434989789,0.786929884275017,0.7826975476839237,0.7963215258855586,0.7772479564032697,0.7854807715493497,0.006273278257597618,9
0.011178970336914062,0.00233716289751063,0.10863122940063477,0.010083253271641179,10,manhattan,12,distance,"{'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 12, 'weights': 'distance'}",0.7794417971409122,0.7842069434989789,0.7779291553133515,0.7997275204359673,0.784741144414169,0.7852093121606758,0.007723564057122915,13
0.013051414489746093,0.0035332735548310235,0.15489983558654785,0.026120270158461797,10,manhattan,14,uniform,"{'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 14, 'weights': 'uniform'}",0.7760381211708646,0.7855684138869979,0.7854223433242506,0.797683923705722,0.7833787465940054,0.7856183097363681,0.006962981960441457,5
0.012018966674804687,0.003305230556021667,0.12093133926391601,0.025084971567813388,10,manhattan,14,distance,"{'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 14, 'weights': 'distance'}",0.7726344452008169,0.7842069434989789,0.782016348773842,0.8004087193460491,0.7901907356948229,0.7858914385029019,0.00919605474822003,1
0.014273786544799804,0.007752647994532201,0.15051546096801757,0.007038976406462673,10,manhattan,16,uniform,"{'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 16, 'weights': 'uniform'}",0.7712729748127978,0.7862491490810075,0.7745231607629428,0.7942779291553134,0.7840599455040872,0.7820766318632296,0.008294444163012837,53
0.009395885467529296,0.001919996635664016,0.12282557487487793,0.016082142131159056,10,manhattan,16,distance,"{'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 16, 'weights': 'distance'}",0.7705922396187883,0.7814840027229408,0.776566757493188,0.7970027247956403,0.7888283378746594,0.7828948125010434,0.009248003856043902,33
0.009807014465332031,0.0018599088374363227,0.15534429550170897,0.018132703696453607,10,manhattan,18,uniform,"{'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 18, 'weights': 'uniform'}",0.775357385976855,0.7882913546630361,0.7690735694822888,0.8004087193460491,0.7833787465940054,0.7833019552124469,0.010799115924387512,21
0.00986495018005371,0.001277106495376445,0.12603235244750977,0.018887552640771344,10,manhattan,18,distance,"{'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 18, 'weights': 'distance'}",0.7773995915588836,0.7828454731109599,0.7690735694822888,0.8010899182561307,0.7854223433242506,0.7831661791465028,0.010567012183032388,25
0.008591222763061523,9.782130385865797e-05,0.17199907302856446,0.02107708927841016,10,manhattan,20,uniform,"{'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 20, 'weights': 'uniform'}",0.7699115044247787,0.7842069434989789,0.7758855585831063,0.7949591280653951,0.7833787465940054,0.7816683762332529,0.008457881407218842,69
0.012207508087158203,0.00260610098145099,0.11338043212890625,0.00940694256608156,10,manhattan,20,distance,"{'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 20, 'weights': 'distance'}",0.7705922396187883,0.7814840027229408,0.7717983651226158,0.7942779291553134,0.7888283378746594,0.7813961748988636,0.009273913122152136,81
0.011200523376464844,0.004458005343566231,0.17097735404968262,0.03238791346215643,10,manhattan,22,uniform,"{'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 22, 'weights': 'uniform'}",0.7733151803948264,0.7787610619469026,0.7772479564032697,0.7922343324250681,0.7799727520435967,0.7803062566427327,0.00637191009499573,117
0.012677955627441406,0.0036107420248908634,0.1223409652709961,0.007428275355640211,10,manhattan,22,distance,"{'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 22, 'weights': 'distance'}",0.7705922396187883,0.7848876786929885,0.7772479564032697,0.7963215258855586,0.7833787465940054,0.7824856294389221,0.008566043072455048,41
0.010859107971191407,0.0026429747185182074,0.17797842025756835,0.034859282876710806,10,manhattan,24,uniform,"{'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 24, 'weights': 'uniform'}",0.7692307692307693,0.7801225323349217,0.7752043596730245,0.7861035422343324,0.7888283378746594,0.7798979082695415,0.007129238044953292,133
0.010719776153564453,0.001955029313154888,0.1285794734954834,0.024816230575129297,10,manhattan,24,distance,"{'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 24, 'weights': 'distance'}",0.7719537100068073,0.7801225323349217,0.7799727520435967,0.7908719346049047,0.7867847411444142,0.7819411340269289,0.006483058031150208,57
