mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.025108718872070314,0.0077959965155761195,0.0025289058685302734,0.0002227665623736575,2,2,2,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.7855684138869979,0.7896528250510552,0.7786103542234333,0.7895095367847411,0.7799727520435967,0.7846627763979648,0.004644135951754683,649
0.04282221794128418,0.017771153641571367,0.002877044677734375,0.0008136572212192179,2,2,4,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 4}",0.7855684138869979,0.7896528250510552,0.7786103542234333,0.7895095367847411,0.7799727520435967,0.7846627763979648,0.004644135951754683,649
0.05549154281616211,0.029211592485647087,0.0023998260498046876,7.421011040189114e-05,2,2,6,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 6}",0.7855684138869979,0.7896528250510552,0.7786103542234333,0.7895095367847411,0.7799727520435967,0.7846627763979648,0.004644135951754683,649
0.043124961853027347,0.018652449789428663,0.015697479248046875,0.026123104459394676,2,2,8,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 8}",0.7855684138869979,0.7896528250510552,0.7786103542234333,0.7895095367847411,0.7799727520435967,0.7846627763979648,0.004644135951754683,649
0.05603804588317871,0.0212044334170012,0.011325216293334961,0.015965817091596227,2,2,10,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.7855684138869979,0.7896528250510552,0.7786103542234333,0.7895095367847411,0.7799727520435967,0.7846627763979648,0.004644135951754683,649
0.07637338638305664,0.010091487283033771,0.002436399459838867,0.0008004266712830061,2,2,12,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 12}",0.7855684138869979,0.7896528250510552,0.7786103542234333,0.7895095367847411,0.7799727520435967,0.7846627763979648,0.004644135951754683,649
0.03832054138183594,0.025152938526768656,0.0021499156951904296,0.0008163236371201162,2,2,14,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 14}",0.7855684138869979,0.7896528250510552,0.7786103542234333,0.7895095367847411,0.7799727520435967,0.7846627763979648,0.004644135951754683,649
0.03493309020996094,0.026849663122398233,0.0014348030090332031,4.946964327911665e-05,2,2,16,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 16}",0.7855684138869979,0.7896528250510552,0.7786103542234333,0.7895095367847411,0.7799727520435967,0.7846627763979648,0.004644135951754683,649
0.024022483825683595,0.021083990551199118,0.001435089111328125,4.236058786392678e-05,2,2,18,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 18}",0.7855684138869979,0.7896528250510552,0.7786103542234333,0.7895095367847411,0.7799727520435967,0.7846627763979648,0.004644135951754683,649
0.033460474014282225,0.023595960099471187,0.00167236328125,0.00014192436221622748,2,4,2,"{'max_depth': 2, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.7855684138869979,0.7896528250510552,0.7786103542234333,0.7895095367847411,0.7799727520435967,0.7846627763979648,0.004644135951754683,649
0.02115292549133301,0.01589643467038341,0.004227781295776367,0.005402956743001998,2,4,4,"{'max_depth': 2, 'min_samples_leaf': 4, 'min_samples_split': 4}",0.7855684138869979,0.7896528250510552,0.7786103542234333,0.7895095367847411,0.7799727520435967,0.7846627763979648,0.004644135951754683,649
0.028493595123291016,0.017355843940191355,0.0014351367950439452,9.775029158274579e-05,2,4,6,"{'max_depth': 2, 'min_samples_leaf': 4, 'min_samples_split': 6}",0.7855684138869979,0.7896528250510552,0.7786103542234333,0.7895095367847411,0.7799727520435967,0.7846627763979648,0.004644135951754683,649
0.03068370819091797,0.021817601564763905,0.008849716186523438,0.014723516325615651,2,4,8,"{'max_depth': 2, 'min_samples_leaf': 4, 'min_samples_split': 8}",0.7855684138869979,0.7896528250510552,0.7786103542234333,0.7895095367847411,0.7799727520435967,0.7846627763979648,0.004644135951754683,649
0.014328622817993164,0.0021289281781761353,0.001818227767944336,0.0008193567468583161,2,4,10,"{'max_depth': 2, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.7855684138869979,0.7896528250510552,0.7786103542234333,0.7895095367847411,0.7799727520435967,0.7846627763979648,0.004644135951754683,649
0.02731013298034668,0.028382166734423522,0.008982467651367187,0.015162750417020763,2,4,12,"{'max_depth': 2, 'min_samples_leaf': 4, 'min_samples_split': 12}",0.7855684138869979,0.7896528250510552,0.7786103542234333,0.7895095367847411,0.7799727520435967,0.7846627763979648,0.004644135951754683,649
0.03267993927001953,0.0318045938050388,0.007323598861694336,0.011153439688039534,2,4,14,"{'max_depth': 2, 'min_samples_leaf': 4, 'min_samples_split': 14}",0.7855684138869979,0.7896528250510552,0.7786103542234333,0.7895095367847411,0.7799727520435967,0.7846627763979648,0.004644135951754683,649
0.0209867000579834,0.008487022621357662,0.0018871784210205077,0.0003834765397758727,2,4,16,"{'max_depth': 2, 'min_samples_leaf': 4, 'min_samples_split': 16}",0.7855684138869979,0.7896528250510552,0.7786103542234333,0.7895095367847411,0.7799727520435967,0.7846627763979648,0.004644135951754683,649
0.027451753616333008,0.017274677469534577,0.0015513896942138672,0.0003215193127477243,2,4,18,"{'max_depth': 2, 'min_samples_leaf': 4, 'min_samples_split': 18}",0.7855684138869979,0.7896528250510552,0.7786103542234333,0.7895095367847411,0.7799727520435967,0.7846627763979648,0.004644135951754683,649
